codigo,nome,populacao,idhm,rdpc,seca,enchente,calor,ameaca,capacidade,peso,cluster,arquetipo,ameaca_futura,tendencia
2900108,Abaíra,8681,0.603,290.53,0.47698120449621506,0.10719397790017685,0.5075873467715435,0.7823692728684191,0.397,0.003069751334341192,0,Seca (sertao) (baixa),0.8551069324575653,Estavel
2900207,Abaré,20594,0.575,220.16,0.8790202654788608,0.08223355487719439,0.18215328578406217,0.9204756476377826,0.42500000000000004,0.003540668411034189,0,Seca (sertao) (baixa),0.6204756476377826,Melhorando
2900306,Acajutiba,15214,0.582,260.46,0.2923460962244943,0.6913120741204193,0.1634021864725319,0.10231102603001815,0.41800000000000004,0.00039548865212892133,1,Enchente / chuva extrema (moderada),0.0,Estavel
2900355,Adustina,17209,0.546,211.37,0.5426980890023754,0.30916073553948653,0.32989115318760487,0.6063131781797398,0.45399999999999996,0.0022857062650048846,0,Seca (sertao) (baixa),0.5062560415998614,Estavel
2900405,Água Fria,17096,0.55,215.12,0.5752016059329269,0.1363563525540625,0.48713030017879294,0.8172758025762047,0.44999999999999996,0.0030895018245689866,0,Seca (sertao) (baixa),0.7711991072049711,Estavel
2900504,Érico Cardoso,10513,0.584,258.28,0.5103768152883027,0.20951983609242603,0.5291422534622386,0.7420585737379667,0.41600000000000004,0.00287251795135371,0,Seca (sertao) (baixa),0.7958876106755877,Estavel
2900603,Aiquara,4387,0.583,283.24,0.42213532614468574,0.17886238923450967,0.17044337105742272,0.5488327967633544,0.41700000000000004,0.002123039248347209,0,Seca (sertao) (baixa),0.5035540312856488,Estavel
2900702,Alagoinhas,153023,0.683,553.17,0.38171323699448567,0.3864717688280283,0.31221930684871485,0.43916823291482054,0.31699999999999995,0.0018278180450630658,3,Enchente / chuva extrema (baixa),0.23099255173482056,Estavel
2900801,Alcobaça,22509,0.608,357.99,0.3875328629424573,0.7197021309206008,0.2918113287886145,0.20090728909414604,0.392,0.0007911234828726638,1,Enchente / chuva extrema (moderada),0.2793199311825644,Agravando
2900900,Almadina,5273,0.563,265.39,0.3192076403090277,0.5387144490612364,0.5525513775238252,0.39691379692612894,0.43700000000000006,0.0015140047748123722,1,Enchente / chuva extrema (moderada),0.42577409176143866,Estavel
2901007,Amargosa,37631,0.625,369.84,0.3802025145316317,0.24620497548261502,0.24540973017602813,0.5070837189537432,0.375,0.002021458296602898,0,Seca (sertao) (baixa),0.29045326417620115,Estavel
2901106,Amélia Rodrigues,24997,0.666,354.66,0.37479463280149017,0.2511680732001035,0.357672415934151,0.5491921182699784,0.33399999999999996,0.0022566088329343354,3,Enchente / chuva extrema (baixa),0.3131490745271731,Estavel
2901155,América Dourada,16086,0.561,186.1,0.8817155865230741,0.3054267111625996,0.48386486355718333,0.8980948900649715,0.43899999999999995,0.003420969868031495,2,Seca (sertao) (moderada),0.856107809874532,Estavel
2901205,Anagé,21229,0.54,243.52,0.5774401267515454,0.2747190989873511,0.573007039359449,0.7595111567346975,0.45999999999999996,0.0028514720530081164,2,Seca (sertao) (moderada),0.7436586413062471,Estavel
2901304,Andaraí,13122,0.555,230.36,0.327132634246321,0.6495352506864198,0.13663162747955207,0.14258536000153038,0.44499999999999995,0.0005408725075311345,1,Enchente / chuva extrema (moderada),0.0,Estavel
2901353,Andorinha,14416,0.588,305.81,0.7141478830523597,0.2613249215758623,0.611084806692257,0.874982851235564,0.41200000000000003,0.0033966645774346277,2,Seca (sertao) (moderada),0.879337142901896,Estavel
2901403,Angical,13902,0.625,266.89,0.817378701156213,0.395034273949697,0.7036952735149383,0.8894937950504742,0.375,0.0035459127252034715,2,Seca (sertao) (moderada),1.0,Estavel
